,,,,,,,2015,2015,2015,2017,2017,2017,2021,2021,2021,,,
NPGEI NO,Sector ,Name of indicator ,Source of data ,Geography,Geography Level,tier,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Kampala ,Region,,,,,87.3,88.2,87.8,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Central I ,Region,,,,,84,82.5,83.3,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Central II ,Region,,,,,81.4,80,80.7,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Busoga ,Region,,,,,84,81.9,83,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Bukedi ,Region,,,,,88,86.3,87.2,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Elgon ,Region,,,,,81.3,81,81.2,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Teso ,Region,,,,,89.1,84.8,87,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Karamoja ,Region,,,,,33.7,37.4,35.5,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Lango ,Region,,,,,75.8,78.9,77.3,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Acholi ,Region,,,,,76.9,77.7,77.2,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),West Nile ,Region,,,,,80.2,80.4,80.3,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Bunyoro ,Region,,,,,81.2,81.2,81.2,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Tooro ,Region,,,,,77.1,69.9,73.4,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Ankole ,Region,,,,,79.2,71.1,75.1,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Kigezi ,Region,,,,,84.3,84.5,84.4,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,residence,,,2015,2015,2015,2017,2017,2017,2021,2021,2021,,,
,,,,,,,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Rural,,,,,,78.8,77,77.9,,,,,,
3.26,Education ,Net primary school enrolment rate by sex,UNHS (UBOS),Urban,,,,,,85.7,84.8,85.3,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,2015,2015,2015,2017,2017,2017,2021,2021,2021,,,
NPGEI NO,Sector ,Name of indicator ,Source of data ,Geography,Geography Level,Tier,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Kampala ,Region,,,,,51,56.9,53.6,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Central I ,Region,,,,,46.2,46.9,46.6,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Central II ,Region,,,,,42.8,30,36.2,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Busoga ,Region,,,,,24.9,27.2,26.1,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Bukedi ,Region,,,,,15.3,21,18.2,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Elgon ,Region,,,,,29.7,22,25.5,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Teso ,Region,,,,,29.5,16.2,22.9,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Karamoja ,Region,,,,,5.1,13.8,10.1,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Lango ,Region,,,,,15.5,16.4,16,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Acholi ,Region,,,,,13.8,18,15.9,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),West Nile ,Region,,,,,9.5,11.6,10.6,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Bunyoro ,Region,,,,,24.1,24.1,24.1,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Tooro ,Region,,,,,25.2,22.4,23.8,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Ankole ,Region,,,,,36.5,31.6,34.3,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Kigezi ,Region,,,,,28.1,30.1,29.1,,,,,,
,,,,,,,,,,,,,,,,,,
NPGEI NO,Sector ,Name of indicator ,Source of data ,residence,,,2015,2015,2015,2017,2017,2017,2021,2021,2021,,,
,,,,,,,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Rural,,,,,,24.6,21.3,22.9,,,,,,
3.8,Education ,Net secondary school enrollmentrate by sex,UNHS (UBOS),Urban,,,,,,42.3,46.1,44.1,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,2015,2015,2015,2017,2017,2017,2021,2021,2021,,,
NPGEI NO,Sector ,Name of indicator ,Source of data ,Geography,Geography Level,,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
3.7,Education ,Gross secondary school enrolment rate by sex,UNHS (UBOS),Kampala ,Region,,,,,87.3,88.2,87.8,,,,,,
